FID,CommonName,ScientificName,RecordDate,Easting_MGA,Northing_MGA,individualCount,coordinateUncertaintyInMeters,geodeticDatum,Data Resource Name,Location 1
40691,Dwarf Skink,Menetia greyii,10/03/2013,149.185,-35.1861,1,10,GDA94,ACT Wildlife Atlas,"(-35.1861, 149.185)"
40692,Dwarf Skink,Menetia greyii,31/10/2013,149.185,-35.1861,1,10,GDA94,ACT Wildlife Atlas,"(-35.1861, 149.185)"
40693,Dwarf Skink,Menetia greyii,23/10/2013,149.17,-35.2866,1,10,GDA94,ACT Wildlife Atlas,"(-35.2866, 149.17)"
40694,Dwarf Skink,Menetia greyii,31/10/2013,149.191,-35.2074,1,10,GDA94,ACT Wildlife Atlas,"(-35.2074, 149.191)"
40695,Dwarf Skink,Menetia greyii,13/11/2013,149.141,-35.3598,1,10,GDA94,ACT Wildlife Atlas,"(-35.3598, 149.141)"
40696,Dwarf Skink,Menetia greyii,29/11/2012,149.255,-35.4487,1,10,GDA94,ACT Wildlife Atlas,"(-35.4487, 149.255)"
40697,Dwarf Skink,Menetia greyii,25/10/2013,149.17,-35.2859,1,10,GDA94,ACT Wildlife Atlas,"(-35.2859, 149.17)"
39315,Boulenger's Skink,Morethia boulengeri,18/12/2013,149.096,-35.3815,1,10,GDA94,ACT Wildlife Atlas,"(-35.3815, 149.096)"
39316,Boulenger's Skink,Morethia boulengeri,10/08/2013,149.108,-35.3951,1,10,GDA94,ACT Wildlife Atlas,"(-35.3951, 149.108)"
39317,Boulenger's Skink,Morethia boulengeri,22/10/2013,149.143,-35.3576,1,10,GDA94,ACT Wildlife Atlas,"(-35.3576, 149.143)"
39318,Boulenger's Skink,Morethia boulengeri,24/10/2013,149.143,-35.3576,1,10,GDA94,ACT Wildlife Atlas,"(-35.3576, 149.143)"
39319,Boulenger's Skink,Morethia boulengeri,13/11/2013,149.143,-35.3576,1,10,GDA94,ACT Wildlife Atlas,"(-35.3576, 149.143)"
39320,Dwarf Skink,Menetia greyii,25/10/2013,149.17,-35.2857,1,10,GDA94,ACT Wildlife Atlas,"(-35.2857, 149.17)"
39321,Dwarf Skink,Menetia greyii,13/11/2013,149.144,-35.206,1,10,GDA94,ACT Wildlife Atlas,"(-35.206, 149.144)"
