suburb,columnHeight,columnMaterial,outreach,lampType,latitude,longitude
AINSLIE,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.269589216257685, 149.14826646549474
CITY,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.28055842589832, 149.1361977015371
AINSLIE,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.264525360924694, 149.13738667102422
LYNEHAM,6.5 metres,STEEL ORDINARY,1.5,COMPACT FLUORESCENT,-35.237587208442974, 149.12135642128794
CAMPBELL,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.289119991769375, 149.15441109470711
TURNER,6.5 metres,STEEL ORDINARY,0.75,COMPACT FLUORESCENT,-35.26896251811101, 149.12926443573775
REID,,PEDESTRIAN OVERPASS,NONE,MERCURY LOW PRESURE FLUORESCEN,-35.284685616404474, 149.14460162753747
LYNEHAM,9 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE,-35.24141373862706, 149.12157249013626
DICKSON,5.2 metres,STAINLESS STEEL,,LIGHT EMITTING DIODE,-35.24960957386957, 149.13709588138278
CITY,,BUS SHELTER,NONE,LIGHT EMITTING DIODE,-35.27779954536998, 149.13059545697104
CITY,10.5 metres,STEEL ORDINARY,3.7,METAL HALIDE,-35.280091055607485, 149.12586767850672
BRADDON,10.5 metres,CONCRETE COLUMN,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.266900853180644, 149.13844738075957
AINSLIE,6.5 metres,STEEL ORDINARY,1.5,COMPACT FLUORESCENT,-35.260702884064415, 149.15051178191513
REID,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.282970725031824, 149.14417441092334
REID,6.5 metres,WOODEN POLE,0.6,MERCURY VAPOUR,-35.280174717628604, 149.13992711618278
LYNEHAM,6.5 metres,STEEL ORDINARY,1.5,COMPACT FLUORESCENT,-35.23977803749483, 149.12310366004746
BRADDON,10 metres,WOODEN POLE,3.0,SODIUM VAPOUR HIGH PRESSURE,-35.266322049394866, 149.13778090639482
REID,6.5 metres,WOODEN POLE,0.6,MERCURY VAPOUR,-35.281680177097186, 149.13856677424255
DICKSON,5.2 metres,STAINLESS STEEL,,LIGHT EMITTING DIODE,-35.250509857939505, 149.13652110514707
DICKSON,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.25938296602282, 149.13473365383305
CAMPBELL,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.288277604595635, 149.15454495705612
AINSLIE,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.260555819177426, 149.14214324619573
AINSLIE,9.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.271514439389954, 149.1493488764057
REID,10 metres,WOODEN POLE,3.0,SODIUM VAPOUR HIGH PRESSURE TW,-35.278782661861186, 149.14497283706555
AINSLIE,9 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.26250921961369, 149.13906084856623
ACTON,9 metres,STEEL ORDINARY,3.0,METAL HALIDE,-35.287621876423714, 149.11857952781767
DICKSON,5.2 metres,STAINLESS STEEL,,LIGHT EMITTING DIODE,-35.250124710584174, 149.13657424009148
REID,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.280847265904995, 149.14146166134904
REID,9 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.278939251405674, 149.13917389126325
REID,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.283338776410524, 149.13733791776448
O'CONNOR,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.256553149586345, 149.1240273374822
AINSLIE,9 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.259222639527614, 149.14749822838857
AINSLIE,9 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.261742436039725, 149.1391850830949
REID,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.283898792405544, 149.14231563084255
AINSLIE,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.26977623484229, 149.14252300344822
REID,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.284287296161615, 149.144068139832
CITY,,BUS SHELTER,NONE,LIGHT EMITTING DIODE,-35.278368339487464, 149.12984423757314
LYNEHAM,9 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.241862887027814, 149.12396271802044
REID,6.5 metres,WOODEN POLE,0.6,MERCURY VAPOUR,-35.280987890205864, 149.13945933547515
TURNER,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.268747709283325, 149.11788713121072
ACTON,8 metres,STEEL ORDINARY,NONE,METAL HALIDE,-35.291784793424824, 149.11939272956482
TURNER,12 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE,-35.266080658228155, 149.13115062558217
TURNER,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.267551099700604, 149.11755914724313
LYNEHAM,9 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.242095486700286, 149.12297579752016
LYNEHAM,6.5 metres,STEEL ORDINARY (LANEWAY),0.15,COMPACT FLUORESCENT,-35.255776309942576, 149.1287165234709
AINSLIE,9 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.262885426765266, 149.13900012004638
LYNEHAM,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.249556963402625, 149.1231603350933
BRADDON,9 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.273062712181066, 149.13423842755236
DICKSON,5.2 metres,STAINLESS STEEL,,LIGHT EMITTING DIODE,-35.250088020277225, 149.13683092481858
DOWNER,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.237534730041695, 149.14383170013875
AINSLIE,6.5 metres,CONCRETE COLUMN,1.5,COMPACT FLUORESCENT,-35.271581884608736, 149.14460389926612
CITY,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.284553870132484, 149.1324044401922
RUSSELL,12 metres,STEEL ORDINARY,4.5,MERCURY VAPOUR,-35.299292166287906, 149.15146564357576
REID,6.5 metres,WOODEN POLE,0.6,MERCURY VAPOUR,-35.285504015043855, 149.14153090120178
AINSLIE,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.263075527774355, 149.14156554796708
